country,year,coffee_val,land_cov,disaster,temp_chan,corrupt_control,govern_eff,pol_stab,reg_qual,rule_law,voice,energy,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
Angola,2002,0,94.2128459537987,1,0.735,-1.15549266338348,-1.13215708732605,-1.5761798620224,-1.29413509368896,-1.63334381580353,-1.23877906799316,586.26,46391.69140625,44386.85546875,17.519417,9.70118045806885,,1.32013463973999,27705.3828125,42306.40625,46423.421875,46788.27734375,330384.75,0.0098189115524292,0.17447492480278,0.150204181671143,96434.1015625,68735.2109375,98287.921875,787984.5625,0.553978085517883,0.747592389583588,0.833167195320129,0.284384667873383,0.0113484049215913,0.0395709276199341,43.5302066666667,0.334553867578507,0.329264670610428,0.326697051525116,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.390809297561646,0.312065809965134,0.201334401965141,0.43728095293045,-0.144063964486122,-0.197426483035088,0.346984893083572,0.31922847032547,0.310424029827118,0.358957916498184,0.44073486328125,0.293808788061142,0.275024920701981
"Bolivia, Plurinational State of",2002,0,91.0407587410502,3,1.016,-0.940807521343231,-0.327785730361938,-0.286515563726425,-0.0900735929608345,-0.378112554550171,0.140369892120361,586.26,29952.490234375,30088.8671875,8.742814,3.75997972488403,,2.54949164390564,27472.45703125,31315.671875,29520.431640625,29351.177734375,65369.16015625,0.00112840568181127,0.370040357112885,0.375893831253052,46117.125,43169.54296875,47800.21875,97376.9296875,0.492954075336456,0.905975162982941,0.868589341640472,0.547475278377533,0.136280804872513,0.0569905303418636,7.17,0.258370488882065,0.26779705286026,0.269341319799423,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.73945939540863,0.130939066410065,0.196532234549522,0.103907018899918,-0.160329818725586,-0.0105079375207424,0.268878191709518,0.335181027650833,0.218834966421127,0.449751406908035,0.375985532999039,0.254414021968842,0.782670617103577
Brazil,2002,1981,91.1303462943362,5,1.052,0.0819423124194145,-0.0346153452992439,0.327800273895264,0.182567074894905,-0.266611307859421,0.472238034009933,586.26,1656122.375,1657569,179.53752,71.2536468505859,1818.72573890106,2.12745189666748,1313879.25,1618859.875,1631614,1630036.25,5286129.5,0.0840906649827957,0.629226624965668,0.594975531101227,2086134.875,1653796,2062579.625,8309068.5,0.64251571893692,1.12947428226471,1.12414121627808,0.533069789409638,0.119212470948696,0.0455628111958504,2.92036301775519,0.318396896123886,0.313818156719208,0.314121931791306,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.605354845523834,0.187100484967232,0.200688138604164,0.0966469272971153,-0.0898952409625053,0.000104874612588901,0.319781363010407,0.29409271478653,0.314220786094666,0.463522762060165,0.47138786315918,0.254628241062164,0.701896727085114
Burundi,2002,98,93.8994063143584,2,0.887,-0.75989693403244,-1.50260782241821,-2.28477239608765,-1.21429216861725,-1.39800202846527,-1.16489124298096,586.26,4493.69970703125,5082.71826171875,6.704113,2.81959652900696,,1.22417294979096,4710.82763671875,5034.20849609375,4287.07763671875,4808.71875,11140.5029296875,0.000218437067815103,0.170527800917625,0.169971808791161,5426.494140625,5186.03173828125,5302.57861328125,9014.4755859375,0.432961374521256,1.18686962127686,1.02365434169769,0.815155267715454,0.00999999977648258,0.0296096950769424,930.749166666667,0.143160194158554,0.146510407328606,0.1306172311306,Extrapolated,Benchmark,Market-based,Regular,Lower bound,,,0.780462324619293,0.0672488287091255,0.199180617928505,0.0184052716940641,-0.0652970522642136,0,0.148563295602799,0.195314541459084,0.121988855302334,0.436616331338882,0.471680581569672,0.149922728538513,0.131215170025826
Cameroon,2002,43,99.2377541276832,,0.77,-1.20911192893982,-0.911196768283844,-0.677264809608459,-1.02413702011108,-1.26537561416626,-1.09704899787903,586.26,44045.6171875,43814.69921875,16.357602,6.01667737960815,,1.7641624212265,37482.328125,44544.82421875,43794.3046875,43786.6328125,95440.796875,0.00168759154621512,0.44450306892395,0.43053674697876,45988.4921875,40657.51953125,46578.7890625,109170.6640625,0.504909455776215,0.974721789360046,0.960099577903748,0.503528833389282,0.106282718479633,0.0503135286271572,696.988203611667,0.247816115617752,0.268740653991699,0.268787741661072,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.744397878646851,0.161293461918831,0.111624248325825,0.101522341370583,-0.106694526970387,-0.0121434526517987,0.244413986802101,0.379792153835297,0.270504146814346,0.407004028558731,0.399854779243469,0.329103261232376,0.854773759841919
Central African Republic,2002,0,97.9764062715929,1,0.745,-0.979822814464569,-1.38285386562347,-1.73340618610382,-0.977119624614716,-0.955280721187592,-1.00346577167511,586.26,3830.98803710938,3839.51538085938,3.802128,1.49307310581207,,1.41145586967468,3673.45947265625,3963.61010742188,3729.48120117188,3734.0439453125,9092.169921875,0.000141369848279283,0.381546169519424,0.385601282119751,4554.48681640625,5425.85107421875,5888.10302734375,25820.408203125,0.896677553653717,1.22296118736267,1.30983078479767,0.231892436742783,0.196428522467613,0.0331579484045506,696.988203611667,0.268615454435349,0.278129518032074,0.277789652347565,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.798929512500763,0.0777041539549828,0.184845641255379,0.0419430509209633,-0.0457253269851208,-0.0576969981193543,0.258222550153732,0.398582130670548,0.313535124063492,0.443530142307282,0.437710225582123,0.329965025186539,1.39134299755096
China,2002,0,102.138510795694,24,1.131,-0.557897567749023,-0.123097203671932,-0.327627182006836,-0.582765877246857,-0.517029762268066,-1.59419310092926,586.26,6559405.5,6458509,1307.352257,748.695434570313,2118.20137588701,2.34594249725342,4551239.5,6550753.5,6689212.5,6659621.5,16249036,0.261909872293472,0.362951070070267,0.339914262294769,6969823,3012118.75,4647336,14960161,0.176131263375282,0.845790207386017,0.58166116476059,0.60328334569931,0.101460114121437,0.0528631657361984,8.2769575,0.196621552109718,0.219840109348297,0.220816940069199,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.445639848709106,0.30024442076683,0.237768247723579,0.124117821455002,-0.103048026561737,-0.0047222850844264,0.224213108420372,0.272689551115036,0.144907772541046,0.44206115603447,0.47797366976738,0.21120186150074,0.549900352954865
Colombia,2002,375,123.890443413167,5,0.675,-0.26433065533638,-0.487907588481903,-1.95671439170837,-0.0232630856335163,-0.749073088169098,-0.416357487440109,586.26,310075.25,313160.90625,40.87536,14.6815271377564,2032.28862374238,2.20584893226624,267279.90625,323743.84375,309030.96875,311238.8125,1172263.75,0.0179341062903404,0.530911087989807,0.525786757469177,354286.59375,310114.84375,333025.0625,1078211.25,0.503621995449066,0.977944731712341,0.884511590003967,0.491314649581909,0.11083510518074,0.0325574167072773,2504.24133083333,0.314206749200821,0.314952194690704,0.312718033790588,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.745683670043945,0.181416749954224,0.113077834248543,0.0929096192121506,-0.0936203226447105,-0.0394675023853779,0.30201980471611,0.318481028079987,0.394572526216507,0.411434650421143,0.435508400201798,0.244669422507286,0.681537330150604
Congo,2002,93,106.371796726114,1,0.752,-1.00901794433594,-1.2652895450592,-1.58716797828674,-1.00055944919586,-1.29098534584045,-0.913109719753265,586.26,8196.94921875,8702.9287109375,3.310387,1.09269440174103,,1.99106359481812,6299.89990234375,7248.2900390625,8175.3828125,8763.0322265625,19791.341796875,,,,13730.7783203125,11823.9091796875,12338.8818359375,49742.546875,,,,,,0.0506999641656876,696.988203611667,0.33429616689682,0.385352939367294,0.359511137008667,Interpolated,Benchmark,Market-based,Regular,,,,0.46548119187355,0.108226262032986,0.253436625003815,0.704702317714691,-0.486113637685776,-0.0457328334450722,0.346223801374435,0.724509298801422,0.312388926744461,0.368476808071137,0.416479289531708,0.638523519039154,
Congo (DRC),2002,0,97.2111407445041,1,0.872,-1.44997084140778,-1.8414363861084,-1.97592794895172,-1.70504701137543,-1.76772034168243,-1.60957503318787,586.26,26910.1171875,26641.265625,49.871666,16.7348155975342,,1.56927669048309,22038.826171875,26060.66796875,26599.53515625,26252.962890625,242157.71875,,,,33897.98828125,29850.125,29131.076171875,153855.09375,,,,,,0.0172800682485104,346.687933885133,0.3585584461689,0.32812687754631,0.332458555698395,Extrapolated,Benchmark,Market-based,Regular,,,,0.72989946603775,0.153195753693581,0.109580114483833,0.12561397254467,-0.0635868757963181,-0.0547024458646774,0.385609894990921,0.161368489265442,0.17837218940258,0.442130386829376,0.481488823890686,0.136178687214851,
