Регион,Год,ПотрЭлектр/душ,ВРП,ИнвесВОК,СрДушДох,ИзносОФ,УрИнАк,УбыточОрг,ИндПроиз
Алтайский край,2010,4.38928423665701,302900.7,22516,11029,36.3,8.2,21.2,122
Амурская область,2010,8.49372738238842,178689.6,100858,14323,24.5,5.9,26.3,104.3
Архангельская область,2010,7.45404081632653,372804.8,80967,19609,36.1,9,39.1,104.9
Астраханская область,2010,3.97821782178218,144888.8,59243,14697,46.3,12.8,39.8,113
Белгородская область,2010,9.39503916449086,398361.4,62865,16993,36.6,10.9,30.5,113.9
Брянская область,2010,3.08705882352941,147024,32780,13358,46.7,8.8,28.7,122.9
Владимирская область,2010,4.84323386537127,224759.2,34652,12956,41.7,9.5,27.3,114.7
Волгоградская область,2010,7.06850786344457,433473.7,30041,13775,49.6,8.4,32.4,106.1
Вологодская область,2010,11.5607826810991,262432.7,56915,14115,46.1,7.4,31.3,111.8
Воронежская область,2010,4.31640256959315,346568.2,53890,13883,45.4,8.6,29.6,106.6
г. Москва,2010,4.50171562256304,8375863.8,63932,44051,33,13.3,28.4,97.8
г. Санкт-Петербург,2010,4.87093284343744,1699486.4,82518,24824,40,13,21.1,107.8
Еврейская автономная область,2010,6.47727272727273,31555.9,106334,15348,30.8,10.5,50.6,102.5
Забайкальский край,2010,6.85171790235081,166742.5,40472,14205,31.9,6.7,35.3,114.9
Ивановская область,2010,3.62896226415094,109884.5,28160,11124,46,5.8,39.1,107.9
Иркутская область,2010,22.3747116968699,546141,49050,15110,28.4,8.7,29.6,113.3
Кабардино-Балкарская Республика,2010,1.66220930232558,77086.4,24379,11290,31.7,8.3,38.3,100.2
Калининградская область,2010,4.26539278131635,195749.1,59429,16040,33.1,3.2,41.7,116
Калужская область,2010,4.58889990089197,188601.3,73599,15477,34,8.3,29.7,133.5
Камчатский край,2010,5.24658385093168,103123.2,101160,27010,42,9.6,32.3,101.5
Карачаево-Черкесская Республика,2010,2.99895178197065,43651.5,19218,10878,35.1,4.3,34.8,116
Кемеровская область,2010,12.3042375950742,625914.9,56564,15341,43.9,5.9,31.5,110.4
Кировская область,2010,5.40911127707244,172352,25676,13331,48.2,7.4,25.1,111.4
Костромская область,2010,5.36156156156156,98130.7,22549,13315,37.9,8.5,44.3,115.7
Краснодарский край,2010,3.80835564053537,1028308.4,112909,16892,40.2,6.2,27.5,104.2
Красноярский край,2010,18.8293743372216,1055525,94282,18262,36.2,10,29,135.8
Курганская область,2010,4.62750275027503,117879.5,27988,13499,60.5,12.4,42.1,113.2
Курская область,2010,6.93259325044405,193648.6,40779,14685,48.8,7.1,25.8,106.5
Ленинградская область,2010,11.2834205933682,490303.7,162912,14798,36.5,9.4,32.7,114.3
Липецкая область,2010,8.65750853242321,248544.9,86502,15936,48.6,8.9,31.4,110.7
Магаданская область,2010,13.5301282051282,59619.7,106541,27801,52.3,34.3,34.7,103.9
Московская область,2010,6.62825781030115,1832867.3,55806,22641,37.7,6.7,29.9,107.1
Мурманская область,2010,15.8316120906801,233438.9,48450,24047,42.7,9.7,36.5,103.2
Нижегородская область ,2010,6.4380592503023,652805.9,57901,16477,49.2,17.7,28.7,116.7
Новгородская область,2010,5.86350710900474,127407.8,62011,15599,43.3,8.7,33.1,116.1
Новосибирская область ,2010,5.71365341335334,484141.3,43173,16276,41.3,5.5,27,108.3
Омская область,2010,5.18831562974203,382620.4,36963,15199,38.7,7.3,33.9,106.4
Оренбургская область,2010,7.92224409448819,458145.4,50889,13557,57.7,14.4,28.2,106.7
Орловская область,2010,3.42735368956743,106196.7,27175,13115,43.9,11.5,34,118.1
Пензенская область,2010,3.14877167630058,172166.7,32904,12920,55.1,9.2,37,113
Пермский край,2010,8.68716780561883,623116.8,52877,19834,58.1,21.3,26,111.3
Приморский край,2010,6.23681515617,470679.2,106264,17298,31.6,7.9,26,116
Псковская область,2010,3.18047690014903,87066,24676,12798,41,9.6,32.3,117.4
Республика Адыгея,2010,3.14954545454545,47194.5,31911,12279,45.6,10,19,115.2
Республика Алтай,2010,2.60821256038647,22393.7,46233,13536,30.5,6.5,39.7,96.5
Республика Башкортостан,2010,5.91959724950884,759203.3,37743,17499,48.7,11.1,20.6,110.1
Республика Бурятия,2010,5.57427983539095,133525.6,34584,14271,23.4,11,25.4,120.2
Республика Дагестан,2010,1.76739876458476,274354.2,41727,15678,37.2,6.7,31.8,91.2
Республика Ингушетия ,2010,1.33253012048193,19929.1,18039,9630,59.5,7.06391133366115,47.7,97.4
Республика Калмыкия,2010,1.72456747404844,24404.1,24095,7774,42.3,2.90874357707197,33.3,113.3
Республика Карелия,2010,12.597200622084,120511.3,35310,16046,35.2,6.6,39.2,108.9
Республика Коми,2010,9.82458286985539,353853,124022,22260,54.6,7.5,33.4,100.8
Республика Марий Эл,2010,4.46115107913669,82374.4,31980,10336,60.4,7.9,30.1,116.1
Республика Мордовия,2010,3.65323741007194,105343.8,48765,11294,59.7,9.4,24.1,107.2
Республика Саха (Якутия),2010,6.88653444676409,386825.1,136172,23088,37.6,7.4,35.8,122.8
Республика Северная Осетия – Алания,2010,2.94887640449438,75327.4,22755,13193,40,7.7,39.7,99
Республика Татарстан,2010,6.75870081858991,1001622.8,86885,18424,44.5,14.9,27.2,105.1
Республика Тыва,2010,2.26818181818182,30772.8,23513,10160,42.7,13,29.3,110.3
Республика Хакасия,2010,32.3832706766917,96039.8,41518,12806,25.3,5.4,27.8,98
Ростовская область,2010,3.90832748538012,659667.4,37159,14647,36.6,7.3,28,114.4
Рязанская область,2010,5.34522569444444,179127.9,35115,13886,49.4,7,27.9,111.6
Самарская область,2010,7.13816485225506,695651.2,47986,20223,52,12.1,29.2,114.4
Саратовская область,2010,5.1273124255657,376169.4,31670,12147,50.6,6.4,33,101.8
Сахалинская область,2010,8.05110663983903,487659.5,270563,30727,20.6,3.1,34.5,101.1
Свердловская область ,2010,11.8075401442867,1046600.1,61462,22194,54.6,15,29.4,117.3
Смоленская область,2010,6.13001017293998,154681.1,49429,14546,45.4,5.5,27.8,106.1
Ставропольский край,2010,3.56048097631012,330790.8,31865,13016,49.7,7.2,23.9,105.3
